MarketCenter,idate,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType
CDRG,201610,NYSE,12,6433047,917978433,600582275,317344264,28405,317273596,43890,15582,26302,10579,0.010471059914110004,0.021147737541004213,89294555.0,0.004401264819562637,0.011231426149108423,226834669.0,0.10760831449446563,1243445.0,28.514400000000247,1.727063923213331,317372669,1002905.2000000004,393008.98350000096,24409296.40000001,2147509.0,3323228.2322000023,6711713.906700004,0.2813555284434401,0.7147265380939277,0.003917933462632222,Limit
CDRG,201610,NYSE,13,924892,130885938,119455967,11276411,74058,10396992,242569,157882,291913,179946,0.003611295260134181,0.0,0.0,,,0.0,,0.0,0.0,,11350469,0.0,0.0,0.0,0.0,40989.89489999996,0.0,0.0,0.0,0.0,Other
CDRG,201610,NYSE,14,587298,94395928,87280934,6919735,65311,3779969,1003165,599274,1006894,446549,0.0017406975702092715,0.0,0.0,,,0.0,,0.0,0.0,,6985046,0.0,0.0,0.0,0.0,12158.852599999993,0.0,0.0,0.0,0.0,Other
CDRG,201610,NYSE,15,139402,25034913,16651243,6181929,370959,423305,629569,647379,1879949,1870847,0.008464174605151179,0.0,0.0,,,0.0,,0.0,0.0,,6552888,0.0,0.0,0.0,0.0,55464.7881999999,0.0,0.0,0.0,0.0,Other
CDRG,201610,Other,11,606782,129834505,1129552,128579966,108478,128626794,32116,17810,8066,800,0.004781109210551961,0.007329405844708159,119363526.0,0.012126620352183641,0.18402989117462892,8957183.0,1.1000193141080181,367735.0,31.07650000000007,2.22013596747658,128688444,21966456.69999999,1447476.1637000008,9853074.3,816421.7000000002,615273.5049000003,943209.8335999986,0.9275388083797176,0.06960363123203199,0.002857560388250557,Market
CDRG,201610,Other,12,2284657,348936235,234618358,114189364,111805,114232740,28174,11573,14715,9407,0.010384814479019,0.01887346118131125,47896014.0,0.004532139559671921,0.05227007616959524,65662931.0,0.4713214766486742,742224.0,13.058999999999926,4.573418267261634,114301169,2503528.3,217071.41980000012,30948349.600000005,3394500.8,1186996.4347999976,2157258.676099997,0.4190334571293842,0.5744729609895766,0.006493581881039204,Limit
CDRG,201610,Other,13,688044,104193198,100016545,3734285,252898,2970727,235566,140125,269823,226679,0.012368914995875516,0.0,0.0,,,0.0,,0.0,0.0,,3987183,0.0,0.0,0.0,0.0,49317.127599999934,0.0,0.0,0.0,0.0,Other
CDRG,201610,Other,14,175194,33116420,28911750,3889363,151696,2345454,451813,276008,508105,313398,0.0009358269701085783,0.0,0.0,,,0.0,,0.0,0.0,,4041059,0.0,0.0,0.0,0.0,3781.732000000002,0.0,0.0,0.0,0.0,Other
CDRG,201610,Other,15,69269,13561588,8047153,3816645,382115,467884,593746,497150,1134776,939857,0.006854104426068657,0.0,0.0,,,0.0,,0.0,0.0,,4198760,0.0,0.0,0.0,0.0,28778.73950000003,0.0,0.0,0.0,0.0,Other
CDRG,201611,NASDAQ,11,769746,155335322,989019,154190764,138316,154314287,5643,3253,3882,1140,0.004491050222679995,0.01884915634499993,145147020.0,0.02405538445226088,0.006449740408035936,8243241.0,0.11292249007398912,938819.0,86.53300000000002,6.657525252471451,154329080,936160.6,3491567.368199998,930847.3000000005,6250211.199999996,693099.6490999989,2908972.9575000023,0.9405033711080244,0.05341340076672523,0.006083228125250278,Market
CDRG,201611,NASDAQ,12,4021957,601016889,388305339,212616875,61012,212586303,40962,16366,19140,10223,0.01630661589467458,0.03921813920692193,72217623.0,0.010619943978217056,0.015988726186681606,139450229.0,0.3122555718427682,1010035.0,51.568599999999535,3.3242246060780083,212677887,1154667.7999999998,766947.1104999997,43544110.99999998,3357583.200000001,3468056.612600005,8340830.978600011,0.3395633839450361,0.6556874857422296,0.004749130312734394,Limit
CDRG,201611,NASDAQ,13,974472,142933084,129962057,12598608,176485,11000365,510674,287024,495626,321123,0.02500332237894476,0.0,0.0,,,0.0,,0.0,0.0,,12775093,0.0,0.0,0.0,0.0,319419.7687000006,0.0,0.0,0.0,0.0,Other
CDRG,201611,NASDAQ,14,433121,69926670,63840251,5758403,87093,3040588,693640,456563,864522,565116,-0.002716918666953162,0.0,0.0,,,0.0,,0.0,0.0,,5845496,0.0,0.0,0.0,0.0,-15881.73720000004,0.0,0.0,0.0,0.0,Other
CDRG,201611,NASDAQ,15,109719,20076991,12111023,5868995,546458,775678,873118,745893,1714684,1433205,0.02725519747397412,0.0,0.0,,,0.0,,0.0,0.0,,6415453,0.0,0.0,0.0,0.0,174854.4383999997,0.0,0.0,0.0,0.0,Other
CDRG,201611,NYSE,11,1295511,263370321,1533538,261742827,59578,261755639,7814,9246,28301,1405,-0.00017682952683341482,0.005395648910100729,249964029.0,0.012179197503653604,0.010486982508991324,11010955.0,0.05057551320480375,827421.0,42.97760000000002,2.7191428547257073,261802405,2621368.4,3044361.2779999967,556884.6999999997,2249875.899999999,-46294.39540000003,1412593.8611999997,0.9547812557336895,0.04205826527834991,0.003160478987960405,Market
CDRG,201611,NYSE,12,7464154,1094861640,683654412,411103585,68998,411049260,58707,22771,27825,10445,0.009114849383330594,0.024259439323073773,116552271.0,0.005505976338290313,0.005146749993399956,293209301.0,0.07706429783412631,1411011.0,33.56150000000021,1.5842420080353732,411172583,599865.3999999999,641734.0463000003,22595968.89999999,2235382.9,3747776.1645999975,9974816.328600015,0.28346313888346003,0.7131051853231177,0.0034316757934222475,Limit
CDRG,201611,NYSE,13,1215913,179046368,161605400,17089466,245876,16035606,371133,212352,374214,231049,0.003959061586439999,0.0,0.0,,,0.0,,0.0,0.0,,17335342,0.0,0.0,0.0,0.0,68631.68659999994,0.0,0.0,0.0,0.0,Other
CDRG,201611,NYSE,14,616475,99658303,89668004,9628053,177001,5906739,1265957,747764,1179846,531386,-0.0005594079237095467,0.0,0.0,,,0.0,,0.0,0.0,,9805054,0.0,0.0,0.0,0.0,-5485.024899999988,0.0,0.0,0.0,0.0,Other
CDRG,201611,NYSE,15,148376,27193406,16040069,8532126,688489,739405,1043448,983406,2718824,2379439,0.009813722859050078,0.0,0.0,,,0.0,,0.0,0.0,,9220615,0.0,0.0,0.0,0.0,90488.56020000004,0.0,0.0,0.0,0.0,Other
CDRG,201611,Other,11,829203,176407764,544271,175808054,23614,175802414,14732,8803,5157,562,0.004666140430971738,0.008089009470125693,166557471.0,0.01380101172045294,0.006029067888524797,8671669.0,0.07297329960357113,602528.0,37.111000000000075,0.5790358290403105,175831668,1004186.3000000002,2298661.6094000004,632800.2999999999,348885.30000000016,820455.2550999995,1422304.027599997,0.9472552521085108,0.04931801591053552,0.0034267319809535104,Market
CDRG,201611,Other,12,2713887,426251174,261602739,164566488,57018,164534460,42571,12948,18531,10839,0.008599926381716094,0.02024422748049116,69840895.0,0.005464380947580928,0.005462385612326415,93984055.0,0.30217225145265353,798556.0,17.045099999999984,5.851245247672048,164623506,381497.9,381637.25600000005,28399373.50000002,4672546.999999999,1415750.0322999975,3332675.7041000007,0.4242461887550858,0.5709030094402193,0.00485080180469489,Limit
CDRG,201611,Other,13,1015271,147278164,141192550,5275593,548910,4490552,280208,187957,377142,304665,0.018088424523088068,0.0,0.0,,,0.0,,0.0,0.0,,5824503,0.0,0.0,0.0,0.0,105356.08290000002,0.0,0.0,0.0,0.0,Other
CDRG,201611,Other,14,301396,51983101,45652567,5875449,241028,4136843,522138,324021,596941,365977,-0.0054017320264590244,0.0,0.0,,,0.0,,0.0,0.0,,6116477,0.0,0.0,0.0,0.0,-33039.56970000001,0.0,0.0,0.0,0.0,Other
CDRG,201611,Other,15,81103,15617407,9192243,4584015,510875,611901,748892,597276,1381834,1087701,0.00883459052109074,0.0,0.0,,,0.0,,0.0,0.0,,5094890,0.0,0.0,0.0,0.0,45011.2669,0.0,0.0,0.0,0.0,Other
CDRG,201612,NASDAQ,11,769944,157570745,723826,156814546,7328,156813601,2908,1001,3964,400,-0.24930839705881835,0.01282775789300922,147257413.0,0.01934694115467044,0.0037948432517960905,8775377.0,0.02547312782117509,789084.0,37.68310000000006,0.5911430215287595,156821874,558818.8,2848980.5039000013,223536.30000000005,466461.4999999997,-39097010.03069998,2011673.0319999976,0.939010670156894,0.05595760831170784,0.005031721531398101,Market
CDRG,201612,NASDAQ,12,3631967,542061689,344691243,197327263,16314,197262434,29626,13257,23525,11100,0.015720307248712772,0.03436250878841625,58187513.0,0.010262865541271728,0.017010168487524117,138188607.0,0.17982976483727045,967457.0,27.41130000000021,1.9387006347568927,197343577,989779.4,597170.6221000006,24850424.699999984,1875609.4999999998,3102301.6640000073,6781220.398999998,0.2948538477135235,0.7002437530561231,0.0049023992303534655,Limit
CDRG,201612,NASDAQ,13,849409,118907875,108255148,10410753,52455,8768408,471605,263009,488173,313975,0.02490767595368457,0.0,0.0,,,0.0,,0.0,0.0,,10463208,0.0,0.0,0.0,0.0,260614.19430000003,0.0,0.0,0.0,0.0,Other
CDRG,201612,NASDAQ,14,441166,65854939,58498196,6983771,46195,3556074,844240,549526,1064701,702713,-0.0005650886931743335,0.0,0.0,,,0.0,,0.0,0.0,,7029966,0.0,0.0,0.0,0.0,-3972.554299999997,0.0,0.0,0.0,0.0,Other
CDRG,201612,NASDAQ,15,99373,18846447,10036235,6507313,416971,694549,864665,732285,1875522,1689147,0.012049369523260429,0.0,0.0,,,0.0,,0.0,0.0,,6924284,0.0,0.0,0.0,0.0,83433.2565999998,0.0,0.0,0.0,0.0,Other
CDRG,201612,NYSE,11,1327114,272286777,992092,271244339,21542,271240851,5935,4979,9012,3159,0.0009288302571306408,0.005082933650620066,258736771.0,0.011341081623840777,0.008779417750405489,11696600.0,0.007760930526819756,832510.0,32.9185000000001,15.99832506516438,271265881,2271558.2,2934354.8389999988,90776.49999999996,13318765.599999998,251959.95799999975,1378826.4747999983,0.9538124368836493,0.043118581507122895,0.0030689816092278853,Market
CDRG,201612,NYSE,12,6427845,929280230,570501450,358730087,16934,358627732,58240,20088,25166,11193,0.01149285785121544,0.02256638748311721,87632273.0,0.006146313353072557,0.024750898564504888,269947000.0,0.1250150033154657,1167748.0,30.133500000000463,2.3085610936606185,358747021,2168977.5000000005,538615.4096999997,33747425.10000002,2695817.6,4123028.5169000006,8095624.284299987,0.2442731726544428,0.752471753626074,0.0032550737194832345,Limit
CDRG,201612,NYSE,13,1098409,155559326,141522397,13920394,35077,12748225,354499,207663,348437,203865,0.015943408581480332,0.0,0.0,,,0.0,,0.0,0.0,,13955471,0.0,0.0,0.0,0.0,222497.77609999987,0.0,0.0,0.0,0.0,Other
