MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
BNYC,2015Q3,NASDAQ,11,183886,37575548,1340,37572979,0,37520094,45325,4081,2768,311,0.022873657106081465,0.029946967939380068,34114061.0,0.005937267890797287,0.27601348898332567,2893159.0,0.4235202766249626,565759.0,22.54699999999998,2.8722901447436096,37572979,9415941.0,202544.319,1225311.5000000002,1625023.9999999998,859431.4380999997,1125196.7975000006,0.907941342633492,0.07700105440135582,0.015057602965152165,Market,0.0053906909803452105,0.32646537023322,0.8869099309950101,0.02103141163848188,0.42976390928017194,-0.15375042029684627,0.01374468841704272,-0.00835399743669751,0.8075818327284651,-0.4811164624952451
BNYC,2015Q3,NASDAQ,12,26846,5678328,9619,5667435,0,5645141,12456,2933,5406,1010,0.030150415928899065,0.03581148080216183,4734320.0,0.00089627876865104,0.17997710336436912,806548.0,3.570555007265531,126567.0,5.5625,10.46843648028317,5667435,852069.2,4243.270499999991,2879823.9999999995,1324958.6,170875.52250000008,202959.23970000003,0.8353549709877572,0.142312704071595,0.022332324940647755,Limit,0.0007487109247834323,0.892264631177949,0.6230494708980845,0.21230550008967275,0.17249841855970952,0.007478684804659602,0.004886942359056017,-0.004138231434272584,0.8558993383572289,0.036365292820720097
BNYC,2015Q3,NASDAQ,13,9125,1892098,411112,1433373,0,770730,170393,108566,207678,123353,0.04200591653393779,0.0,0.0,,,0.0,,0.0,0.0,,1433373,0.0,0.0,0.0,0.0,60210.14660000001,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,NASDAQ,14,8052,1731809,441806,1227035,0,376966,194661,136057,272703,173575,0.015499702616469779,0.0,0.0,,,0.0,,0.0,0.0,,1227035,0.0,0.0,0.0,0.0,19018.677599999995,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,NASDAQ,15,25448,5343834,1777068,2968557,0,362846,405223,337526,804393,665073,0.01743702367850778,0.0,0.0,,,0.0,,0.0,0.0,,2968557,0.0,0.0,0.0,0.0,51762.79870000002,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,NYSE,11,297075,61218910,100,61213963,0,61164473,43151,4004,1276,1059,0.011103509073575258,0.01419281609981697,56730381.0,0.004916593126705776,0.15795324907125147,3929811.0,0.32135181564711407,553771.0,19.40679999999996,1.2357145823815259,61213963,8960747.999999993,278920.20129999996,1262851.900000001,684302.9,679689.7936000001,868798.5196000002,0.9267555671897929,0.06419795104590761,0.00904648176429943,Market,0.004556480051781649,0.17819305049731862,0.9150998507041294,0.011655716485663548,0.7393954725568305,-0.581442223485579,0.007804302408933672,-0.0032478223571520224,1.1128114393370294,-0.9346183888397108
BNYC,2015Q3,NYSE,12,30333,6471136,12422,6458307,0,6436665,11479,3210,4457,1401,0.016146953141125034,0.021530337842409784,5364392.0,0.0004420160383506634,0.15644559532562125,1010052.0,6.081209383279277,83863.0,4.210000000000003,4.6520515602828425,6458307,839235.5,2371.147299999992,6142337.7,390135.0,104281.98049999979,139049.53160000002,0.8306189222655411,0.15639578607830196,0.012985291656156946,Limit,0.0003671468853989121,1.1414304398970194,0.6003788207832953,0.23024010148224583,0.1614152406476859,-0.0049696453220646475,0.003006800037955431,-0.0026396531525565187,0.7388091773611539,0.4026212625358655
BNYC,2015Q3,NYSE,13,5625,1191117,234058,931883,0,491688,108731,74744,144045,83227,0.031993622911889154,0.0,0.0,,,0.0,,0.0,0.0,,931883,0.0,0.0,0.0,0.0,29814.313299999998,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,NYSE,14,10381,2237579,523612,1627711,0,376105,299987,224779,415750,230563,0.009864470289873325,0.0,0.0,,,0.0,,0.0,0.0,,1627711,0.0,0.0,0.0,0.0,16056.5068,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,NYSE,15,27601,5859450,1784398,3216425,0,158439,270045,297691,914460,969287,0.01618286669205717,0.0,0.0,,,0.0,,0.0,0.0,,3216425,0.0,0.0,0.0,0.0,52050.976999999984,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,Other,11,211018,46026456,175,46023945,0,45968958,43073,6133,4510,1271,0.015722893094018777,0.01702402352731822,41839919.0,0.00513718545917835,0.1798564858598316,3629800.0,0.614911372527412,554226.0,16.827499999999972,2.0667446132083294,46023945,7525180.8,214939.42349999998,2232005.3000000003,1145443.5999999996,723629.567,783512.7224999997,0.9090902355284841,0.07886764161568505,0.012042122855830808,Market,0.00467016513903795,0.23689037738942195,0.8994270711281529,0.009663164400331214,1.493260395396282,-1.3134039095364503,0.009162164999961002,-0.004491999860923052,1.6303544734445712,-1.3934640960551492
BNYC,2015Q3,Other,12,20264,4480288,9717,4470251,0,4449551,9985,2629,4210,2932,0.025900764319497914,0.025543144534837057,3526069.0,0.0006114281654726548,0.4361665639554983,865192.0,5.75742078058974,78990.0,2.9590000000000023,3.7974705658944172,4470251,1537953.4,2155.9378999999985,4981274.3999999985,299962.2,115782.91759999987,114184.2673999999,0.7887854619349115,0.19354438934189602,0.017670148723192503,Limit,0.00048228564794236355,1.5254602034650848,0.5943119944149565,0.19447346751995498,0.1743629073007111,0.2618036566547872,0.002410201323262891,-0.0019279156753205275,1.0446932546572638,0.480766948807821
BNYC,2015Q3,Other,13,4606,999639,216686,739040,0,368229,85130,57310,108464,81171,0.019643232977917296,0.0,0.0,,,0.0,,0.0,0.0,,739040,0.0,0.0,0.0,0.0,14517.134899999997,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,Other,14,6184,1381341,360223,952701,0,246064,159542,113509,223693,144920,0.012068677895793122,0.0,0.0,,,0.0,,0.0,0.0,,952701,0.0,0.0,0.0,0.0,11497.841500000002,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q3,Other,15,16330,3522770,1165785,1802407,0,142820,185528,164168,482598,478985,0.01333179903318174,0.0,0.0,,,0.0,,0.0,0.0,,1802407,0.0,0.0,0.0,0.0,24029.3279,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
